images,x,y,labels
L_07_05_16_DSC00126.JPG,2504.0,392.0,3
L_07_05_16_DSC00126.JPG,1726.5,458.5,3
L_07_05_16_DSC00127.JPG,2626.5,2337.5,3
L_07_05_16_DSC00127.JPG,1818.0,2462.5,3
L_07_05_16_DSC00150.JPG,1539.0,1411.0,2
L_07_05_16_DSC00150.JPG,1121.0,1377.5,2
L_07_05_16_DSC00150.JPG,939.5,1413.5,2
L_07_05_16_DSC00150.JPG,869.5,1501.0,2
L_07_05_16_DSC00150.JPG,1193.0,884.5,2
L_07_05_16_DSC00150.JPG,1244.0,745.0,2
L_07_05_16_DSC00150.JPG,1075.5,545.0,2
L_07_05_16_DSC00150.JPG,1475.5,486.0,2
L_07_05_16_DSC00150.JPG,1381.0,329.5,2
L_07_05_16_DSC00151.JPG,1581.0,3776.0,2
L_07_05_16_DSC00151.JPG,1122.0,3700.5,2
L_07_05_16_DSC00151.JPG,925.0,3736.0,2
L_07_05_16_DSC00151.JPG,834.5,3836.0,2
L_07_05_16_DSC00151.JPG,1216.5,3183.0,2
L_07_05_16_DSC00151.JPG,1506.0,2748.5,2
L_07_05_16_DSC00151.JPG,1316.0,2991.5,2
L_07_05_16_DSC00151.JPG,1120.5,2794.0,2
L_07_05_16_DSC00151.JPG,1411.0,2592.5,2
L_07_05_16_DSC00151.JPG,1137.0,1819.5,4
L_07_05_16_DSC00151.JPG,957.0,1694.5,4
L_07_05_16_DSC00151.JPG,1552.0,30.5,5
L_07_05_16_DSC00152.JPG,1268.0,3866.5,4
L_07_05_16_DSC00152.JPG,1088.5,3735.0,4
L_07_05_16_DSC00152.JPG,1684.5,2032.0,5
L_07_05_16_DSC00162.JPG,798.0,52.0,1
L_07_05_16_DSC00163.JPG,740.0,2202.0,1
L_07_05_16_DSC00197.JPG,1223.5,678.5,2
L_07_05_16_DSC00197.JPG,668.0,744.0,2
L_07_05_16_DSC00197.JPG,3750.5,1367.0,2
L_07_05_16_DSC00198.JPG,3893.5,3662.0,2
L_07_05_16_DSC00198.JPG,1317.0,3073.0,2
L_07_05_16_DSC00198.JPG,785.5,3161.0,2
L_07_05_16_DSC00198.JPG,60.0,3256.5,2
L_07_05_16_DSC00257.JPG,5737.0,433.0,3
L_07_05_16_DSC00257.JPG,5719.0,391.0,3
L_07_05_16_DSC00258.JPG,5919.5,2581.0,3
L_07_05_16_DSC00258.JPG,5905.5,2531.0,3
L_07_05_16_DSC00259.JPG,5527.0,1583.0,3
L_07_05_16_DSC00270.JPG,3182.5,2237.0,1
L_07_05_16_DSC00271.JPG,192.5,1322.5,1
L_07_05_16_DSC00279.JPG,3411.5,358.0,1
L_07_05_16_DSC00280.JPG,3528.0,2416.0,1
L_07_05_16_DSC00286.JPG,4907.5,918.5,2
L_07_05_16_DSC00287.JPG,5186.5,3270.5,2
L_07_05_16_DSC00313.JPG,2939.0,366.5,3
L_07_05_16_DSC00314.JPG,3132.0,2550.0,3
L_07_05_16_DSC00350.JPG,3572.5,1327.0,3
L_07_05_16_DSC00350.JPG,525.5,199.5,1
L_07_05_16_DSC00351.JPG,4100.5,3604.5,3
L_07_05_16_DSC00351.JPG,1036.0,2497.0,1
L_07_05_16_DSC00361.JPG,2626.0,1788.0,3
L_07_05_16_DSC00362.JPG,4854.0,2070.0,3
L_07_05_16_DSC00362.JPG,5043.5,700.5,1
L_07_05_16_DSC00362.JPG,4971.0,668.5,1
L_07_05_16_DSC00362.JPG,4035.0,665.5,1
L_07_05_16_DSC00363.JPG,1986.0,2161.5,3
L_07_05_16_DSC00363.JPG,5844.0,3244.0,1
L_07_05_16_DSC00363.JPG,5766.0,3219.5,1
L_07_05_16_DSC00363.JPG,4705.5,3118.0,1
L_07_05_16_DSC00363.JPG,5606.0,2343.0,1
L_07_05_16_DSC00364.JPG,5644.0,1676.5,1
L_07_05_16_DSC00365.JPG,5774.5,3670.5,1
L_07_05_16_DSC00368.JPG,3920.5,478.5,3
L_07_05_16_DSC00369.JPG,4177.0,2476.5,3
L_07_05_16_DSC00369.JPG,50.0,135.0,3
L_07_05_16_DSC00414.JPG,5868.0,1012.5,2
L_07_05_16_DSC00414.JPG,5841.5,985.5,2
L_07_05_16_DSC00414.JPG,5733.0,1015.5,2
L_07_05_16_DSC00414.JPG,5362.5,773.5,2
L_07_05_16_DSC00414.JPG,5490.0,668.5,2
L_07_05_16_DSC00414.JPG,5757.5,769.5,2
L_07_05_16_DSC00414.JPG,5766.0,810.0,2
L_07_05_16_DSC00414.JPG,5677.5,849.0,2
L_07_05_16_DSC00414.JPG,5599.0,834.5,2
L_07_05_16_DSC00414.JPG,5592.5,796.5,2
L_07_05_16_DSC00414.JPG,5615.5,774.5,2
L_07_05_16_DSC00414.JPG,5569.0,758.5,2
L_07_05_16_DSC00414.JPG,5601.0,727.5,2
