images,labels,base_images,x,y
000113a692ba61cd55ea3acb9c2f9c41709710a1_0.JPG,6,000113a692ba61cd55ea3acb9c2f9c41709710a1.JPG,375.0,236.5
000113a692ba61cd55ea3acb9c2f9c41709710a1_0.JPG,6,000113a692ba61cd55ea3acb9c2f9c41709710a1.JPG,430.0,462.0
000113a692ba61cd55ea3acb9c2f9c41709710a1_1.JPG,6,000113a692ba61cd55ea3acb9c2f9c41709710a1.JPG,228.5,294.0
000113a692ba61cd55ea3acb9c2f9c41709710a1_1.JPG,6,000113a692ba61cd55ea3acb9c2f9c41709710a1.JPG,23.0,236.5
000113a692ba61cd55ea3acb9c2f9c41709710a1_1.JPG,6,000113a692ba61cd55ea3acb9c2f9c41709710a1.JPG,78.0,462.0
000113a692ba61cd55ea3acb9c2f9c41709710a1_16.JPG,6,000113a692ba61cd55ea3acb9c2f9c41709710a1.JPG,430.0,110.0
000113a692ba61cd55ea3acb9c2f9c41709710a1_17.JPG,6,000113a692ba61cd55ea3acb9c2f9c41709710a1.JPG,78.0,110.0
002296711c356eca5bf02af0beaa0723ca2e5577_65.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,483.5,384.0
002296711c356eca5bf02af0beaa0723ca2e5577_65.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,459.5,415.0
002296711c356eca5bf02af0beaa0723ca2e5577_65.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,446.5,338.5
002296711c356eca5bf02af0beaa0723ca2e5577_65.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,497.0,236.5
002296711c356eca5bf02af0beaa0723ca2e5577_65.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,493.5,277.5
002296711c356eca5bf02af0beaa0723ca2e5577_66.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,131.5,384.0
002296711c356eca5bf02af0beaa0723ca2e5577_66.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,107.5,415.0
002296711c356eca5bf02af0beaa0723ca2e5577_66.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,94.5,338.5
002296711c356eca5bf02af0beaa0723ca2e5577_66.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,145.0,236.5
002296711c356eca5bf02af0beaa0723ca2e5577_66.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,141.5,277.5
002296711c356eca5bf02af0beaa0723ca2e5577_81.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,483.5,32.0
002296711c356eca5bf02af0beaa0723ca2e5577_81.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,459.5,63.0
002296711c356eca5bf02af0beaa0723ca2e5577_82.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,131.5,32.0
002296711c356eca5bf02af0beaa0723ca2e5577_82.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,107.5,63.0
003aa29b4a39911e544d542fc10d9d53819e1499_2.JPG,6,003aa29b4a39911e544d542fc10d9d53819e1499.JPG,390.5,379.0
003aa29b4a39911e544d542fc10d9d53819e1499_3.JPG,6,003aa29b4a39911e544d542fc10d9d53819e1499.JPG,38.5,379.0
003aa29b4a39911e544d542fc10d9d53819e1499_18.JPG,6,003aa29b4a39911e544d542fc10d9d53819e1499.JPG,390.5,27.0
003aa29b4a39911e544d542fc10d9d53819e1499_19.JPG,6,003aa29b4a39911e544d542fc10d9d53819e1499.JPG,38.5,27.0
0069b92ae68b7c9a91496d90b4306b51cc3974b0_123.JPG,6,0069b92ae68b7c9a91496d90b4306b51cc3974b0.JPG,187.0,507.5
0069b92ae68b7c9a91496d90b4306b51cc3974b0_139.JPG,6,0069b92ae68b7c9a91496d90b4306b51cc3974b0.JPG,187.0,155.5
0069b92ae68b7c9a91496d90b4306b51cc3974b0_153.JPG,6,0069b92ae68b7c9a91496d90b4306b51cc3974b0.JPG,463.0,485.0
0069b92ae68b7c9a91496d90b4306b51cc3974b0_154.JPG,6,0069b92ae68b7c9a91496d90b4306b51cc3974b0.JPG,417.0,430.5
0069b92ae68b7c9a91496d90b4306b51cc3974b0_154.JPG,6,0069b92ae68b7c9a91496d90b4306b51cc3974b0.JPG,111.0,485.0
0069b92ae68b7c9a91496d90b4306b51cc3974b0_155.JPG,6,0069b92ae68b7c9a91496d90b4306b51cc3974b0.JPG,65.0,430.5
0069b92ae68b7c9a91496d90b4306b51cc3974b0_169.JPG,6,0069b92ae68b7c9a91496d90b4306b51cc3974b0.JPG,463.0,133.0
0069b92ae68b7c9a91496d90b4306b51cc3974b0_170.JPG,6,0069b92ae68b7c9a91496d90b4306b51cc3974b0.JPG,417.0,78.5
0069b92ae68b7c9a91496d90b4306b51cc3974b0_170.JPG,6,0069b92ae68b7c9a91496d90b4306b51cc3974b0.JPG,111.0,133.0
