images,labels,base_images,x,y
L_07_05_16_DSC00126_S0.JPG,3,L_07_05_16_DSC00126_S0,1726.5,458.5
L_07_05_16_DSC00126_S1.JPG,3,L_07_05_16_DSC00126_S1,504.0,392.0
L_07_05_16_DSC00127_S3.JPG,3,L_07_05_16_DSC00127_S3,1818.0,462.5
L_07_05_16_DSC00127_S4.JPG,3,L_07_05_16_DSC00127_S4,626.5,337.5
L_07_05_16_DSC00150_S0.JPG,2,L_07_05_16_DSC00150_S0,1539.0,1411.0
L_07_05_16_DSC00150_S0.JPG,2,L_07_05_16_DSC00150_S0,1121.0,1377.5
L_07_05_16_DSC00150_S0.JPG,2,L_07_05_16_DSC00150_S0,939.5,1413.5
L_07_05_16_DSC00150_S0.JPG,2,L_07_05_16_DSC00150_S0,869.5,1501.0
L_07_05_16_DSC00150_S0.JPG,2,L_07_05_16_DSC00150_S0,1193.0,884.5
L_07_05_16_DSC00150_S0.JPG,2,L_07_05_16_DSC00150_S0,1244.0,745.0
L_07_05_16_DSC00150_S0.JPG,2,L_07_05_16_DSC00150_S0,1075.5,545.0
L_07_05_16_DSC00150_S0.JPG,2,L_07_05_16_DSC00150_S0,1475.5,486.0
L_07_05_16_DSC00150_S0.JPG,2,L_07_05_16_DSC00150_S0,1381.0,329.5
L_07_05_16_DSC00151_S0.JPG,4,L_07_05_16_DSC00151_S0,1137.0,1819.5
L_07_05_16_DSC00151_S0.JPG,4,L_07_05_16_DSC00151_S0,957.0,1694.5
L_07_05_16_DSC00151_S0.JPG,5,L_07_05_16_DSC00151_S0,1552.0,30.5
L_07_05_16_DSC00151_S3.JPG,2,L_07_05_16_DSC00151_S3,1581.0,1776.0
L_07_05_16_DSC00151_S3.JPG,2,L_07_05_16_DSC00151_S3,1122.0,1700.5
L_07_05_16_DSC00151_S3.JPG,2,L_07_05_16_DSC00151_S3,925.0,1736.0
L_07_05_16_DSC00151_S3.JPG,2,L_07_05_16_DSC00151_S3,834.5,1836.0
L_07_05_16_DSC00151_S3.JPG,2,L_07_05_16_DSC00151_S3,1216.5,1183.0
L_07_05_16_DSC00151_S3.JPG,2,L_07_05_16_DSC00151_S3,1506.0,748.5
L_07_05_16_DSC00151_S3.JPG,2,L_07_05_16_DSC00151_S3,1316.0,991.5
L_07_05_16_DSC00151_S3.JPG,2,L_07_05_16_DSC00151_S3,1120.5,794.0
L_07_05_16_DSC00151_S3.JPG,2,L_07_05_16_DSC00151_S3,1411.0,592.5
L_07_05_16_DSC00152_S3.JPG,4,L_07_05_16_DSC00152_S3,1268.0,1866.5
L_07_05_16_DSC00152_S3.JPG,4,L_07_05_16_DSC00152_S3,1088.5,1735.0
L_07_05_16_DSC00152_S3.JPG,5,L_07_05_16_DSC00152_S3,1684.5,32.0
L_07_05_16_DSC00162_S0.JPG,1,L_07_05_16_DSC00162_S0,798.0,52.0
L_07_05_16_DSC00163_S3.JPG,1,L_07_05_16_DSC00163_S3,740.0,202.0
L_07_05_16_DSC00197_S0.JPG,2,L_07_05_16_DSC00197_S0,1223.5,678.5
L_07_05_16_DSC00197_S0.JPG,2,L_07_05_16_DSC00197_S0,668.0,744.0
L_07_05_16_DSC00197_S1.JPG,2,L_07_05_16_DSC00197_S1,1750.5,1367.0
L_07_05_16_DSC00198_S3.JPG,2,L_07_05_16_DSC00198_S3,1317.0,1073.0
L_07_05_16_DSC00198_S3.JPG,2,L_07_05_16_DSC00198_S3,785.5,1161.0
L_07_05_16_DSC00198_S3.JPG,2,L_07_05_16_DSC00198_S3,60.0,1256.5
L_07_05_16_DSC00198_S4.JPG,2,L_07_05_16_DSC00198_S4,1893.5,1662.0
L_07_05_16_DSC00257_S2.JPG,3,L_07_05_16_DSC00257_S2,1737.0,433.0
L_07_05_16_DSC00257_S2.JPG,3,L_07_05_16_DSC00257_S2,1719.0,391.0
L_07_05_16_DSC00258_S5.JPG,3,L_07_05_16_DSC00258_S5,1919.5,581.0
L_07_05_16_DSC00258_S5.JPG,3,L_07_05_16_DSC00258_S5,1905.5,531.0
L_07_05_16_DSC00259_S2.JPG,3,L_07_05_16_DSC00259_S2,1527.0,1583.0
L_07_05_16_DSC00270_S4.JPG,1,L_07_05_16_DSC00270_S4,1182.5,237.0
L_07_05_16_DSC00271_S0.JPG,1,L_07_05_16_DSC00271_S0,192.5,1322.5
L_07_05_16_DSC00279_S1.JPG,1,L_07_05_16_DSC00279_S1,1411.5,358.0
L_07_05_16_DSC00280_S4.JPG,1,L_07_05_16_DSC00280_S4,1528.0,416.0
L_07_05_16_DSC00286_S2.JPG,2,L_07_05_16_DSC00286_S2,907.5,918.5
L_07_05_16_DSC00287_S5.JPG,2,L_07_05_16_DSC00287_S5,1186.5,1270.5
L_07_05_16_DSC00313_S1.JPG,3,L_07_05_16_DSC00313_S1,939.0,366.5
L_07_05_16_DSC00314_S4.JPG,3,L_07_05_16_DSC00314_S4,1132.0,550.0
L_07_05_16_DSC00350_S0.JPG,1,L_07_05_16_DSC00350_S0,525.5,199.5
L_07_05_16_DSC00350_S1.JPG,3,L_07_05_16_DSC00350_S1,1572.5,1327.0
L_07_05_16_DSC00351_S3.JPG,1,L_07_05_16_DSC00351_S3,1036.0,497.0
L_07_05_16_DSC00351_S5.JPG,3,L_07_05_16_DSC00351_S5,100.5,1604.5
L_07_05_16_DSC00361_S1.JPG,3,L_07_05_16_DSC00361_S1,626.0,1788.0
L_07_05_16_DSC00362_S2.JPG,1,L_07_05_16_DSC00362_S2,1043.5,700.5
L_07_05_16_DSC00362_S2.JPG,1,L_07_05_16_DSC00362_S2,971.0,668.5
L_07_05_16_DSC00362_S2.JPG,1,L_07_05_16_DSC00362_S2,35.0,665.5
L_07_05_16_DSC00362_S5.JPG,3,L_07_05_16_DSC00362_S5,854.0,70.0
L_07_05_16_DSC00363_S3.JPG,3,L_07_05_16_DSC00363_S3,1978.0,161.5
L_07_05_16_DSC00363_S4.JPG,3,L_07_05_16_DSC00363_S4,8.0,161.5
L_07_05_16_DSC00363_S5.JPG,1,L_07_05_16_DSC00363_S5,1844.0,1244.0
L_07_05_16_DSC00363_S5.JPG,1,L_07_05_16_DSC00363_S5,1766.0,1219.5
L_07_05_16_DSC00363_S5.JPG,1,L_07_05_16_DSC00363_S5,705.5,1118.0
L_07_05_16_DSC00363_S5.JPG,1,L_07_05_16_DSC00363_S5,1606.0,343.0
L_07_05_16_DSC00364_S2.JPG,1,L_07_05_16_DSC00364_S2,1644.0,1676.5
L_07_05_16_DSC00365_S5.JPG,1,L_07_05_16_DSC00365_S5,1774.5,1670.5
L_07_05_16_DSC00368_S1.JPG,3,L_07_05_16_DSC00368_S1,1920.5,478.5
L_07_05_16_DSC00369_S0.JPG,3,L_07_05_16_DSC00369_S0,50.0,135.0
L_07_05_16_DSC00369_S5.JPG,3,L_07_05_16_DSC00369_S5,177.0,476.5
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1868.0,1012.5
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1841.5,985.5
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1733.0,1015.5
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1362.5,773.5
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1490.0,668.5
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1757.5,769.5
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1766.0,810.0
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1677.5,849.0
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1599.0,834.5
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1592.5,796.5
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1615.5,774.5
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1569.0,758.5
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1601.0,727.5
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1779.5,675.5
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1907.5,716.5
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1958.0,688.0
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1980.5,717.0
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1890.0,675.5
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1856.5,654.0
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1833.0,620.5
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1959.0,643.0
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1912.0,614.5
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1877.5,576.0
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1799.5,521.5
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1856.0,528.5
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1868.0,435.0
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1905.5,479.0
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1917.0,513.0
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1973.0,535.0
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1977.0,578.5
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1939.5,551.5
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1935.0,274.0
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1789.0,274.0
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1768.5,322.5
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1805.0,323.0
L_07_05_16_DSC00414_S2.JPG,2,L_07_05_16_DSC00414_S2,1830.5,298.0
L_07_05_16_DSC00415_S2.JPG,2,L_07_05_16_DSC00415_S2,1976.5,1984.5
L_07_05_16_DSC00415_S5.JPG,2,L_07_05_16_DSC00415_S5,1916.0,709.5
L_07_05_16_DSC00415_S5.JPG,2,L_07_05_16_DSC00415_S5,1566.5,453.0
L_07_05_16_DSC00415_S5.JPG,2,L_07_05_16_DSC00415_S5,1698.5,343.0
L_07_05_16_DSC00415_S5.JPG,2,L_07_05_16_DSC00415_S5,1801.5,417.0
L_07_05_16_DSC00415_S5.JPG,2,L_07_05_16_DSC00415_S5,1809.0,465.0
L_07_05_16_DSC00415_S5.JPG,2,L_07_05_16_DSC00415_S5,1771.5,441.0
L_07_05_16_DSC00415_S5.JPG,2,L_07_05_16_DSC00415_S5,1788.5,502.0
L_07_05_16_DSC00415_S5.JPG,2,L_07_05_16_DSC00415_S5,1866.5,526.0
L_07_05_16_DSC00415_S5.JPG,2,L_07_05_16_DSC00415_S5,1955.5,456.5
L_07_05_16_DSC00415_S5.JPG,2,L_07_05_16_DSC00415_S5,1959.0,496.0
L_07_05_16_DSC00415_S5.JPG,2,L_07_05_16_DSC00415_S5,1979.5,373.5
L_07_05_16_DSC00415_S5.JPG,2,L_07_05_16_DSC00415_S5,1976.5,11.5
L_07_05_16_DSC00415_S5.JPG,2,L_07_05_16_DSC00415_S5,1986.0,213.0
L_07_05_16_DSC00422_S1.JPG,4,L_07_05_16_DSC00422_S1,1770.5,769.0
L_07_05_16_DSC00423_S4.JPG,4,L_07_05_16_DSC00423_S4,1973.0,607.0
L_07_05_16_DSC00440_S2.JPG,4,L_07_05_16_DSC00440_S2,795.0,550.0
L_07_05_16_DSC00441_S1.JPG,2,L_07_05_16_DSC00441_S1,1061.5,985.0
L_07_05_16_DSC00441_S5.JPG,4,L_07_05_16_DSC00441_S5,780.5,565.5
L_07_05_16_DSC00454_S2.JPG,4,L_07_05_16_DSC00454_S2,501.5,288.5
L_07_05_16_DSC00454_S2.JPG,4,L_07_05_16_DSC00454_S2,530.0,100.5
L_07_05_16_DSC00455_S2.JPG,4,L_07_05_16_DSC00455_S2,935.0,1727.5
L_07_05_16_DSC00455_S2.JPG,4,L_07_05_16_DSC00455_S2,915.5,1938.5
L_07_05_16_DSC00456_S5.JPG,4,L_07_05_16_DSC00456_S5,1170.5,1760.5
L_07_05_16_DSC00468_S4.JPG,5,L_07_05_16_DSC00468_S4,304.5,152.5
L_07_05_16_DSC00544_S1.JPG,4,L_07_05_16_DSC00544_S1,1905.5,1305.0
L_07_05_16_DSC00544_S1.JPG,4,L_07_05_16_DSC00544_S1,1905.0,1314.5
L_07_05_16_DSC00544_S1.JPG,4,L_07_05_16_DSC00544_S1,1737.5,1298.5
L_07_05_16_DSC00544_S1.JPG,4,L_07_05_16_DSC00544_S1,1733.5,1290.5
L_07_05_16_DSC00544_S1.JPG,4,L_07_05_16_DSC00544_S1,1724.0,1281.0
